TITLE,'2021-08-02','2021-08-09','2021-08-16','2021-08-23','2021-08-30','2021-09-06','2021-11-01','2021-11-08','2021-11-15'
--,,,,,554.0,168.0,903.0,1186.0,1171
adaptiva-and-delegated-calenders,5.0,4.0,5.0,1.0,13.0,6.0,5.0,2.0,7
adobe-flash-end-of-life,3.0,5.0,9.0,9.0,21.0,4.0,4.0,2.0,5
android-10,11.0,6.0,17.0,11.0,17.0,10.0,8.0,17.0,11
android-10-and-device-admin-deprecation,11.0,6.0,17.0,11.0,17.0,10.0,8.0,17.0,11
android-device-admin-deprecation,10.0,4.0,4.0,4.0,19.0,8.0,5.0,5.0,5
android-enterprise-workshop,2.0,5.0,6.0,5.0,22.0,10.0,4.0,8.0,9
android-launcher-and-workspace-one-uem-2105,6.0,89.0,16.0,23.0,18.0,8.0,12.0,33.0,34
android-launcher-update,,,,,,,206.0,149.0,172
android-native-check-incheck-out-cico,8.0,20.0,16.0,23.0,37.0,26.0,53.0,181.0,179
app-config-and-horizon-on-microsoft-azure,3.0,8.0,7.0,7.0,18.0,5.0,10.0,10.0,7
app-volumes-4,3.0,11.0,16.0,10.0,20.0,8.0,3.0,3.0,4
app-volumes-4-podcast,5.0,6.0,8.0,4.0,18.0,7.0,174.0,32.0,35
apple-apns-deprecation,7.0,6.0,11.0,12.0,29.0,8.0,7.0,10.0,8
apple-updates-from-wwdc,9.0,12.0,17.0,32.0,26.0,13.0,13.0,4.0,8
apple-wwdc-wrap-up,4.0,7.0,7.0,5.0,12.0,3.0,11.0,8.0,5
bogo-horizon-8-2006-and-workspace-one-proximity,3.0,10.0,9.0,5.0,20.0,12.0,8.0,3.0,10
boxer-history-and-upcoming-changes,23.0,11.0,47.0,32.0,38.0,22.0,14.0,12.0,15
brian-madden-and-workspace-one-uem-1912,1.0,1.0,,2.0,1.0,4.0,5.0,4.0,1
chrome-os-certificate-extensions,3.0,7.0,4.0,5.0,15.0,4.0,8.0,3.0,4
cmmc-compliance,5.0,4.0,6.0,10.0,24.0,4.0,10.0,7.0,10
community-series-5-getting-started-with-horizon-automation-tools,3.0,3.0,8.0,13.0,24.0,8.0,27.0,131.0,196
corporate-owned-personally-enabled-mode-on-android,5.0,6.0,20.0,3.0,180.0,6.0,8.0,14.0,6
credentia-and-macos,9.0,6.0,9.0,6.0,19.0,17.0,10.0,4.0,7
day-0-on-boarding-and-new-access-features,3.0,3.0,9.0,3.0,17.0,6.0,12.0,32.0,25
device-management-options-for-byod,4.0,6.0,7.0,6.0,16.0,7.0,8.0,18.0,16
enterprise-app-repository,28.0,22.0,35.0,61.0,51.0,19.0,104.0,19.0,14
enterprise-app-repository-from-a-customers-point-of-view,7.0,8.0,9.0,37.0,31.0,6.0,278.0,218.0,34
